Position,Track,Artist(s),Label,Sex,Age,Type,Race,Country,Genre
1,Hero,X Factor finalists,Syco music,Mixed,Under 25,Group,Mixed,UK,Pop
2,Mercy,Duffy,A&M,Female,Under 25,Solo,White,UK,Pop
3,Rockstar,Nickelback,Roadrunner,Male,Over 25,Group,White,US,Rock
4,I kissed a girl,Katy Perry,Virgin,Female,Under 25,Solo,White,US,Pop
5,American Boy,Estelle,Atlantic,Female,Over 25,Solo,Non white,UK,RnB
6,Now You're Gone,Basshunter,Hard2beat,Male,Under 25,Solo,White,SWE,Dance
7,4 minutes,Madonna,Warner Bros,Female,Over 25,Solo,White,US,RnB
8,Black and Gold,Sam Sparro,Island,Male,Under 25,Solo,White,AUS,Dance
9,Sex on Fire,Kings Of Leon,Hand me Down,Male,Over 25,Group,White,US,Rock
10,Low,Flo Rida,Atlantic,Male,Under 25,Solo,Non white,US,RnB
11,Dance Wiv Me,Dizzee Rascal Calvin Harris,Dirtee Stank,Male,Under 25,Solo,Non white,UK,RnB
12,Closer,Ne-Yo,Def Jam,Male,Over 25,Solo,Non white,US,RnB
13,All Summer Long,Kid Rock,Atlantic,Male,Over 25,Solo,White,US,Rock
14,So What,Pink,La Face,Female,Over 25,Solo,White,US,Pop
15,Disturbia,Rihanna,Def Jam,Female,Under 25,Solo,Non white,Barbados,RnB
16,Take a bow,Rihanna,Def Jam,Female,Under 25,Solo,Non white,Barbados,Pop
17,No Air,Jordin Sparks,Jive,Female,Under 25,Solo,Non white,US,RnB
18,Superstar,Lupe Fiasco,Atlantic,Male,Over 25,Solo,Non white,US,Pop
19,The Promise,Girls Aloud,Fascination,Female,Under 25,Group,White,UK,RnB
20,Don't Stop the Music,Rihanna,Def Jam,Female,Under 25,Solo,Non white,Barbados,Rock
21,That's Not My Name,The Ting Tings,Columbia,Mixed,Over 25,Group,White,UK,Pop
22,Viva La Vida,Coldplay,EMI,Male,Over 25,Group,White,UK,Pop
23,Chasing Pavements,Adele,XL,Female,Under 25,Solo,White,UK,RnB
24,Sweet About Me,Gabriella Cilmi,Universal,Female,Under 25,Solo,White,AUS,Pop
25,The Man Who Can't Be Moved,The Script,Phonogenic,Male,Over 25,Group,White,IRE,RnB
26,If I Were A Boy,Beyonce,Columbia,Female,Over 25,Solo,Non white,US,RnB
27,What's It Gonna Be,H Two O,Hard2beat,Female,Under 25,Group,Non white,UK,RnB
28,Heartbreaker,Will I Am,Interscope,Male,Over 25,Solo,Mixed,US,Dance
29,Love in this Club,Usher,La Face,Male,Over 25,Solo,Non white,US,Dance
30,Warwick Avenue,Duffy,A&M,Female,Under 25,Solo,White,UK,RnB
